Type,Group,Tag,Description
Screens,New User Experience,Account Setup,"First-time setup flow where a new user configures their account (name, username, profile details, initial preferences) right after signing up."
Screens,New User Experience,Guided Tour & Tutorial,"Onboarding walkthrough, product tour, or step-by-step tutorial that explains features to a first-time user, often with coach marks, highlighted regions, or progress dots."
Screens,New User Experience,Signup,"Account creation screen with fields like email, password, name, or social sign-up buttons (Continue with Google/Apple)."
Screens,New User Experience,Verification,"Screens for verifying identity via email code, SMS OTP, phone number confirmation, CAPTCHA, or two-factor authentication challenge."
Screens,Account Management,Delete & Deactivate Account,"Screens that let a user permanently delete or temporarily deactivate their account, usually with warnings and a final confirmation."
Screens,Account Management,Forgot Password,"Password recovery flow: enter email, receive a reset link/code, and set a new password."
Screens,Account Management,Login,"Sign-in screen with email/username and password fields, biometric prompt, or SSO buttons."
Screens,Account Management,My Account & Profile,"User-owned profile or account overview showing personal info, avatar, username, stats, and editable fields."
Screens,Account Management,Settings & Preferences,"App-wide settings hub: account, notifications, privacy, appearance, language, accessibility, and similar toggles organized in a list."
Screens,Communication,Acknowledgement & Success,"Success or completion screen confirming an action was performed (e.g., 'Payment complete', 'Message sent'), often with a large checkmark or celebratory illustration."
Screens,Communication,Action Option,"Screen or sheet offering the user a set of choices before continuing, such as action sheets, option pickers, or 'What do you want to do?' menus."
Screens,Communication,Confirmation,"A 'Are you sure?' screen or modal asking the user to confirm a destructive or important action before it is executed."
Screens,Communication,Empty State,"Screen shown when there is no content to display yet (empty inbox, no search results, no items), usually with an illustration and a call to action."
Screens,Communication,Error,"Error screen or message indicating something went wrong (failed request, 404, crash, form validation summary) with an explanation and recovery option."
Screens,Communication,Feature Info,"Informational screen describing a feature, often shown when it launches or is first opened, including 'What's new' and feature highlight screens."
Screens,Communication,Feedback,"Screens asking the user for feedback: rating the app, leaving a comment, NPS survey, or a 'How was your experience?' prompt."
Screens,Communication,Help & Support,"Help center, FAQ, contact support, chat-with-us, or troubleshooting screens."
Screens,Communication,Loading,"A screen dominated by a loading indicator, spinner, progress bar, or skeleton placeholders while content is being fetched."
Screens,Communication,Permission,"Screens or system prompts requesting permissions (notifications, camera, microphone, location, contacts, Bluetooth)."
Screens,Communication,Suggestions & Similar Items,"Screen that recommends content to the user: 'You may also like', 'Recommended for you', related items, or personalized suggestions."
Screens,Commerce & Finance,Billing,"Billing and invoicing screens showing charges, invoices, receipts, or billing history for a subscription or account."
Screens,Commerce & Finance,Cart & Bag,"Shopping cart or bag screen listing items the user has added, with quantities, price totals, and a checkout button."
Screens,Commerce & Finance,Checkout,"Multi-step checkout flow: shipping address, delivery option, payment, and review-and-pay screens."
Screens,Commerce & Finance,Order Confirmation,"Post-purchase confirmation screen showing 'Thanks for your order', order number, summary, and estimated delivery."
Screens,Commerce & Finance,Order Detail,"Detail view for a single order showing items purchased, status, tracking, shipping address, and totals."
Screens,Commerce & Finance,Order History,"List of the user's past orders or purchases, each with status and a link to details."
Screens,Commerce & Finance,Payment Method,"Screens for adding, editing, or selecting a payment method (credit card, PayPal, Apple Pay, bank account)."
Screens,Commerce & Finance,Pricing,"Plan comparison or pricing tier screens showing feature-by-feature comparisons and prices."
Screens,Commerce & Finance,Promotions & Rewards,"Screens showcasing coupons, promo codes, loyalty rewards, referral bonuses, or seasonal discounts."
Screens,Commerce & Finance,Shop & Storefront,"Storefront landing or browse screen showing products, categories, featured collections, or a branded shop."
